S. No.,Name of the Organization,Salary Per Annum (Rs. In Lakhs),Date of Test/ Interview,ECE,CSE,EEE,IT,MECH,PROD,CIVIL,CHEM,BIO- TECH,
270,"SATYAM VENTURE ENGINEERING
SERVICES PVT LTD",2.1,13.12.2013,NA,NA,NA,NA,4,1,NA,NA,NA,
271,TECH MAHINDRA,3,16.12.2013,5,0,1,1,0,1,1,1,3,
272,INTERGRAPH,3.7,18.12.2013,NA,2,NA,0,3,0,0,NA,NA,
273,BANK OF AMERICA,3.75,21.12.2013,2,4,1,1,1,0,NA,NA,NA,
274,MUSIGMA,4.5,20.12.2013,NA,3,NA,2,NA,NA,NA,NA,NA,
275,CA TECHNOLOGIES,5.5,"03 &
04.01.2014",NA,3,NA,2,NA,NA,NA,NA,NA,
276,TATA ADVANCED SYSTEMS LTD.,3.93,04.01.2014,NA,NA,NA,NA,1,1,NA,NA,NA,
277,BROADCOM - INTERNSHIP,2.4,06.01.2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,
278,WELLS FARGO,5.2,"06 &
07.01.2014",8,6,2,2,1,3,1,2,NA,
279,GODREJ & BOYCE MFG. CO. LTD,5,07.01.2014,NA,NA,NA,NA,1,0,NA,NA,NA,
280,BACKOFFICE ASSOCIATES,4.5,09.01.2014,4,0,NA,0,NA,NA,NA,NA,NA,
281,CSC,3.27,09.01.2014,2,2,0,1,NA,NA,NA,NA,NA,
282,AVAYA - INTERNSHIP,2.4,09.01.2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,
283,ORACLE -(UGBU),6,21.01.2014,2,2,NA,1,NA,NA,NA,NA,NA,
284,ORACLE -(CGBU),7.5,21.01.2014,1,0,0,2,NA,NA,NA,NA,NA,
285,99ACRES.COM,5,22.01.2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,
286,VERIZON,4.5,"29 &
30.01.2014",2,6,0,0,NA,NA,NA,NA,NA,
287,ORIENT CEMENT,3.75,"30 &
31.01.2014",0,NA,2,NA,5,NA,NA,2,NA,
288,Dr. REDDY'S LABORATORIES LTD,4,03.02.2014,NA,NA,NA,NA,NA,NA,NA,1,NA,
289,DEFTEAM SOLUTIONS PVT. LTD.,3,"05 &
06.02.2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,
290,JARO EDUCATION,4.5,08.02.2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,
291,INFOTECH ENTERPRISES LTD,2.75,12.02.2014,NA,NA,NA,NA,2,NA,NA,NA,NA,
292,SNEHADEEP FINANCIAL,2,19.02.2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,
293,A and M Signalling Services Pvt. Ltd.,2.5,24.02.2014,10,NA,0,NA,NA,NA,NA,NA,NA,
294,ISERVICEGLOBE,3,12.03.2014,NA,0,NA,0,NA,NA,NA,NA,NA,
295,PYRO GROUP,3,27.03.2014,1,0,NA,0,NA,NA,NA,NA,NA,
296,GODREJ & BOYCE MFG. CO. LTD,3.6,05.04.2014,3,NA,NA,NA,NA,NA,NA,NA,NA,
297,AARVE ASSOCIATES,3.3,13.04.2014,NA,NA,NA,NA,NA,NA,2,NA,NA,
298,K TREE SOLUTIONS,2.4,24.04.2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,
299,NAVJYOTHI COMMODITES,3,26.04.2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,
300,SAMSUNG R &D,6.5,10.05.2014,NA,3,NA,0,NA,NA,NA,NA,NA,
301,INVESCO LTD,2.25,17.05.2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,
302,GE-BHEL,3.5,21.05.2014,NA,NA,NA,NA,3,NA,NA,NA,NA,
303,TIBCO,5,23.05.2014,NA,6,NA,0,NA,NA,NA,NA,NA,
304,HYDERABAD INDUSTRIES LTD.,4.5,02.07.2014,NA,NA,1,NA,2,0,NA,NA,NA,
305,PROGRESS SOFTWARE-INTERNSHIP,2.4,03.07.2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,
306,DELOITTE,5.2,01.08.2014,11,10,5,6,NA,NA,NA,NA,NA,
307,DELOITTE (INTERNSHIP),1.8,01.08.2014,NA,4,NA,2,NA,NA,NA,NA,NA,
308,ORACLE (CGBU,8,06.08.2014,0,3,0,1,NA,NA,NA,NA,NA,
309,ORACLE (PGBU),8,07.08.2014,1,1,0,0,NA,NA,NA,NA,NA,
310,JPMORGAN CHASE,6,08.08.2014,NA,2,NA,1,NA,NA,NA,NA,NA,
311,MICROSOFT(MSIT),12,08.08.2014,NA,3,NA,2,NA,NA,NA,NA,NA,
312,MICROSOFT(FTP),12,13.08.2014,NA,2,NA,1,NA,NA,NA,NA,NA,
313,MICROSOFT(INTERNSHIP),3,13.08.2014,NA,4,NA,0,NA,NA,NA,NA,NA,
314,ITC,8.5,31.08.2014,NA,NA,0,NA,1,0,NA,NA,NA,
315,FACTSET,6,03.09.2014,NA,1,NA,1,NA,NA,NA,NA,NA,
316,COGNIZANT,3.35,06.09.2014,48,41,14,16,14,8,18,13,10,
317,INFOSYS,3.35,12.09.2014,68,39,17,19,17,9,19,20,8,
318,Verity Knowledge Solutions,3.6,15.09.2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,
319,WIPRO,3.35,17.09.2014,49,35,8,26,7,4,15,3,4,
320,ACCENTURE,3,19.09.2014,70,46,22,23,18,22,36,22,19,
321,TECHMAHINDRA,3,23.09.2014,2,6,2,1,2,1,0,0,0,
322,CAPGEMINI,3,26.09.2014,1,2,2,2,1,1,4,NA,NA,
323,CYBAGE,3,27.09.2014,3,8,NA,3,NA,NA,NA,NA,NA,
324,ALLIANCE GLOBAL SERVICES,4,30.09.2014,4,3,NA,1,NA,NA,NA,NA,NA,
325,MICROSOFT - GFS,12,06.10.2014,NA,2,NA,0,NA,NA,NA,NA,NA,
326,CA TECHNOLOGIES,5.5,08.10.2014,0,0,0,1,NA,NA,NA,NA,NA,
327,IGATE,3,09.10.2014,7,3,0,2,NA,NA,NA,NA,NA,
328,JPMORGAN CHASE,5.25,10.10.2014,NA,11,NA,6,NA,NA,NA,NA,NA,
329,NCR CORPORATION,4,16.10.2014,NA,3,NA,2,NA,NA,NA,NA,NA,
330,VERIZON,4.5,17.10.2014,7,2,2,1,NA,NA,NA,NA,NA,
331,HEXAGON,4.3,20.10.2014,NA,2,NA,0,1,1,0,NA,NA,
332,CYIENT,2.75,27.10.2014,NA,NA,NA,NA,4,1,NA,NA,NA,
333,L & T INFOTECH (OFF CAMPUS),3,01.11.2014,0,0,NA,0,NA,NA,NA,NA,NA,
334,FORD,5.5,07.11.2014,4,NA,2,1,NA,NA,NA,NA,NA,
335,SATYAM VENTURE ENGINEERING SERVICES PVT LTD,2.1,18.11.2014,NA,NA,NA,NA,1,1,NA,NA,NA,
336,JARO EDUCATION,5.46,18.11.2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,
337,CSC,3.4,01.12.2014,1,0,0,1,NA,NA,NA,NA,1,
338,CAPITAL IQ,6.57,03.12.2014,NA,0,NA,1,NA,NA,NA,NA,NA,
339,GODREJ,5,06.12.2014,1,NA,NA,NA,2,0,NA,NA,NA,
340,MENTOR GRAPHICS - INTERNSHIP,2.4,05.12.2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,
341,DEFTEAM,3.25,10.12.2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,
342,AVAYA - INTERNSHIP,2.4,11.12.2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,
343,HIL,4.5,02.01.205,NA,NA,NA,NA,2,2,NA,NA,NA,
344,SIA EDUGROUP,1.8,02.01.2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,
345,BANK OF AMERICA,3.75,09.01.2015,7,12,0,1,0,0,NA,NA,NA,
346,BROADCOM - INTERNSHIP,3.84,20.01.2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,
347,RAMKY GROUP,2.4,21.01.2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,
348,WELLS FARGO,5.5,22.01.2015,2,3,1,2,2,3,3,3,NA,
349,ADTRAN NETWORKS - INTERNSHIP,2.4,10.02.2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,
350,AUROBINDO PHARMA LTD,3.6,11.02.2015,NA,NA,NA,NA,2,0,NA,2,NA,
351,PRIMESOFT SOLUTIONS,4,16.02.2015,NA,0,NA,2,NA,NA,NA,NA,NA,
352,ICICI SECURITIES,3.5,19.02.2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,
353,NEUDESIC,3.25,20.02.2015,0,1,0,0,0,2,0,0,0,
354,KIDSTOBY PRE-SCHOOL CHAIN,2.4,27.02.2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,
355,RANE GROUP,3.5,04.03.2015,NA,NA,NA,NA,2,1,NA,NA,NA,
356,THINK TANKERS,5,20.03.2015,1,0,0,0,0,0,0,0,0,
357,THINK TANKERS  - INTERNSHIP,1.8,20.03.2015,3,3,0,3,0,0,0,0,0,
358,VALUE LABS,1.8,31.03.2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,
359,VISA INC,7.0,07.4.2015,3,3,1,NA,NA,NA,NA,NA,NA,
360,STRATAGEM SOLUTIONS,2.0,08.4.2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,
361,NEKTAR THERAPEUTICS,2.0,09.4.2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,
362,"APOORVA IT SOLUTIONS PVT. LTD.,",2.0,13.4.2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,
363,NAYAN HARDWARE PVT LTD.,3.6,17.4.2015,0,NA,0,NA,1,0,1,NA,NA,
364,CAPITAL IQ,6.0,27.4.2015,NA,1,NA,0,NA,NA,NA,NA,NA,
365,ELECTRONICS ARTS - INTERNSHIP,2.2,19.5.2015,0,2,NA,0,NA,NA,NA,NA,NA,
366,EHELIUM,2.0,21.5.2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,
367,RIKTAM - INTERNSHIP,0.72,08.6.2015,NA,3,NA,NA,NA,NA,NA,NA,NA,
368,"PROGRESS SOFTWARE -
INTERNSHIP",1.8,08.5.2015,NA,2,NA,2,NA,NA,NA,NA,NA,
369,Sunera Technologies Pvt. Ltd.,2.0,27.6.2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,
370,ORACLE,7.5,07.7.2015,1,9,0,4,NA,NA,NA,NA,NA,
371,DUPONT - INTERNSHIP,3.0,07.7.2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,
372,HEXAGON - INTERNSHIP,2.4,09.7.2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,
373,HYUNDAI,3.25,17.7.2015,NA,NA,NA,NA,1,1,NA,NA,NA,
374,RIKTAM,4.2,15.6.2015,NA,1,NA,NA,NA,NA,NA,NA,NA,
375,DELOITTE,6.2,03.8.2015,8,19,NA,7,NA,NA,NA,NA,NA,
376,JP MORGAN (CODE FOR GOOD),6.3,31.7.2015,NA,5,NA,6,NA,NA,NA,NA,NA,
377,NCR CORPORATION,5.5,14.8.2015,NA,5,NA,0,NA,NA,NA,NA,NA,
378,ACCOLITE,10.0,17.8.2015,NA,1,NA,0,NA,NA,NA,NA,NA,
379,"Unistring Tech Solutions Pvt Ltd,
(INTERNSHIP)",0.96,22.6.2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,
380,COGNIZANT,3.35,05.9.2015,60,32,20,11,29,8,18,6,6,
381,INFOSYS,3.28,08.9.2015,82,32,23,12,37,17,27,12,13,
382,WIPRO,3.35,12.9.2015,82,37,29,24,38,12,3,2,0,
383,ACCENTURE,3.5,15.9.2015,101,57,38,25,58,29,42,27,16,
384,CAPGEMINI,3.15,20.9.2015,7,2,2,1,2,0,6,0,0,
385,DELOITTE TAX (MBA),5.8,18.9.2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,
386,MYCLASSBOARD (MBA),2.5,16.9.2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,
387,ZOMATO,12.0,14.9.2015,NA,1,NA,0,NA,NA,NA,NA,NA,
388,HUL,7.0,30.9.2015,NA,NA,1,NA,0,NA,NA,NA,NA,
389,CALLIDUS CLOUD,6.0,10.3.2015,NA,2,NA,2,NA,NA,NA,NA,NA,
390,UURMI SYSTEMS (INTERNSHIP),1.0,10.5.2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,
391,HYUNDAI MOBIS,3.63,06.10.2015,0,0,0,1,NA,NA,NA,NA,NA,
392,HEXAGON,4.75,14.10.2015,NA,1,0,1,2,0,0,NA,NA,
393,PEGA SYSTEMS,7.13,16.10.2015,5,3,NA,1,NA,NA,NA,NA,NA,
394,JP MORGAN,6.7,03.11.2015,NA,6,NA,2,NA,NA,NA,NA,NA,
395,HSBC,7.0,17.10.2015,1,0,0,0,NA,NA,NA,NA,NA,
396,CDK GLOBAL,4.5,29.10.2015,0,7,NA,0,NA,NA,NA,NA,NA,
397,FMC Technology,5.53,12.11.2015,NA,NA,NA,NA,3,0,NA,NA,NA,
398,CA TECHNOLOGY,5.15,17.11.2015,NA,2,NA,0,NA,NA,NA,NA,NA,
399,INVESO  (MBA),3.3,18.11.2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,
400,Next Education Indian Pvt Ltd.,5.0,23.11.2015,1,6,0,0,NA,NA,NA,NA,NA,
401,Verity Knowledge Solutions(MBA),3.5,26.11.2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,
402,L&T METRO RAIL,4.0,09.10.2015,2,1,0,0,1,NA,NA,NA,NA,
403,"Riktam Technology Consulting
Pvt. Ltd",4.2,23.12.2015,NA,3,NA,0,NA,NA,NA,NA,NA,
404,Thinktankers Internship,4.5,05.1.2016,NA,7,NA,3,NA,NA,NA,NA,NA,
405,Bank of America,3.75,06.1.2016,6,4,3,1,1,1,0,0,0,
406,United Health Group (UHG),3.6,09.1.2016,3,1,0,0,NA,NA,NA,NA,NA,
407,ATOS,2.8,18.1.2016,1,1,0,0,NA,NA,NA,NA,NA,
408,INSPIRAGE,4.5,19.1.2016,1,1,NA,0,NA,NA,NA,NA,NA,
409,HIL,4.5,22.1.2016,NA,NA,NA,NA,2,NA,NA,NA,NA,
410,MRF MBA,3.9,27.1.2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,
411,Biological E.Limited,1.8,21.1.2016,NA,NA,NA,NA,NA,NA,NA,NA,2,
412,Deloitte Intern,3.0,21.1.2016,NA,1,NA,3,NA,NA,NA,NA,NA,
413,GRAND TOTAL,,,364,258,117,106,175,68,97,47,37,
414,Thinktankers (Internship),1.5,05.1.2016,NA,7,NA,3,NA,NA,NA,NA,NA,
415,Deloitte (Internship),0.25,21.1.2016,NA,3,NA,1,NA,NA,NA,NA,NA,
416,Biological E. Limited,1.5,21.1.2016,NA,NA,NA,NA,NA,NA,NA,NA,2,
417,INSPIRAGE,4.5,19.1.2016,1,1,NA,0,NA,NA,NA,NA,NA,
418,Value Labs,2.7,31.1.2016,NA,1,NA,0,NA,NA,NA,NA,NA,
419,Factset,6.5,15.2.2016,NA,2,NA,0,NA,NA,NA,NA,NA,
420,Oracle,7.5,18.2.2016,1,1,0,1,NA,NA,NA,NA,NA,
421,Heterodrugs (MBA),2.4,20.2.2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,
422,HUAWEI,7.4,20.2.2016,2,5,NA,1,NA,NA,NA,NA,NA,
423,Babycell  (BioTech & MBA),7.8,24.2.2016,NA,NA,NA,NA,NA,NA,NA,0,4,
424,Godrej & Boyce Mfg. Co. Ltd,5.5,27.2.2016,NA,NA,NA,NA,1,0,NA,NA,NA,
425,Samsung,7.5,08.3.2016,NA,3,NA,1,NA,NA,NA,NA,NA,
426,Pernod -Ricard India Pvt Ltd,4.0,25.2.2016,NA,NA,0,NA,3,0,NA,NA,NA,
427,Kent RO Systems Ltd.,4.2,05.3.2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,
428,Aurobindo Pharma (Chemical),3.6,11.3.2016,NA,NA,NA,NA,NA,NA,NA,4,NA,
429,Bonaven Software Pvt.Ltd,4.0,31.3.2016,NA,1,NA,1,NA,NA,NA,NA,NA,
430,Orient Cements,4.0,06.4.2016,NA,NA,1,NA,2,1,0,0,NA,
431,GE India Technology,5.8,16.4.2016,NA,3,NA,1,NA,NA,NA,NA,NA,
432,Dr.Reddy's Labs,4.0,20.4.2016,NA,NA,NA,NA,NA,NA,NA,NA,2,
433,BEL  (Bharat Electronics Limited),7.5,23.4.2016,3,NA,NA,NA,NA,NA,1,NA,NA,
434,Technoforce Solutions Pvt Ltd,4.5,05.5.2016,NA,NA,NA,NA,NA,NA,NA,1,NA,
435,Infor,3.4,18.5.2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,
436,Aurobindo Pharma (Mechanical),3.6,23.5.2016,NA,NA,NA,NA,4,NA,NA,NA,NA,
437,Progress Software Internship,0.2,02.5.2016,NA,1,NA,1,NA,NA,NA,NA,NA,
438,Commscope Internship,0.2,30.5.2016,NA,5,NA,1,NA,NA,NA,NA,NA,
439,AMAZON  (Pooled),12.0,10.6.2016,NA,4,NA,NA,NA,NA,NA,NA,NA,
440,ARECESIUM (DESHAW) (Pooled),15,15.6.2016,NA,4,NA,1,NA,NA,NA,NA,NA,
441,JP Morgan Code for Good,6.3,08.7.2016,NA,10,NA,3,NA,NA,NA,NA,NA,
442,Oracle GBU,9.0,28.7.2016,0,9,0,7,NA,NA,NA,NA,NA,
443,Deloitte,6.25,03.8.2016,6,11,3,3,NA,NA,NA,NA,NA,
444,Microsoft,9.78,05.8.2016,NA,6,NA,2,NA,NA,NA,NA,NA,
445,PEGA Systems,8.13,08.8.2016,NA,5,NA,5,NA,NA,NA,NA,NA,
446,Next Education Solutions,5.0,09.8.2016,1,7,NA,0,NA,NA,NA,NA,NA,
447,Wells Fargo,5.5,11.8.2016,2,9,NA,1,NA,NA,NA,NA,NA,
448,ITC,8.2,19.8.2016,NA,NA,0,NA,2,0,NA,NA,NA,
449,NCR Corporation,5.5,26.8.2016,7,10,NA,5,NA,NA,NA,NA,NA,
450,Cognizant,3.5,02.9.2016,58,38,24,13,20,3,12,9,2,
451,Capgemini (Internship),0.12,08.2.2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,
452,Infosys,3.28,04.9.2016,63,41,23,7,30,9,19,12,5,
453,Infosys Pega Drive,4.45,07.9.2016,NA,12,NA,6,NA,NA,NA,NA,NA,
454,Wipro,3.3,10.9.2016,48,31,26,17,28,6,6,3,3,
455,DELOITTE TAX (MBA),6.2,13.9.2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,
456,Accenture,3.5,14.9.2016,94,74,41,23,31,15,24,17,18,
457,ION Trading,12,18.9.2016,NA,1,NA,0,NA,NA,NA,NA,NA,
458,PERVACIO,12,20.9.2016,0,3,NA,0,NA,NA,NA,NA,NA,
459,ZENSAR Pega Drive,5,20.9.2016,NA,3,NA,2,NA,NA,NA,NA,NA,
460,HYUNDAI,3.5,21.9.2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,
461,Capgemini,3.5,23.9.2016,26,10,10,2,NA,NA,NA,NA,NA,
462,TCS Pega Drive,4.5,26.9.2016,NA,18,NA,8,NA,NA,NA,NA,NA,
463,iBgroup (Pooled),18,26.9.2016,NA,1,1,NA,NA,NA,NA,NA,NA,
464,CA Technology,6,20.10.2016,NA,1,NA,2,NA,NA,NA,NA,NA,
465,ELEATION Academy,5.5,25.10.2016,NA,NA,NA,NA,22,5,15,NA,NA,
466,Franklin Templeton (MBA),3.45,25.10.2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,
467,Virtusa Polaris with Pega,4,27.10.2016,NA,2,NA,2,NA,NA,NA,NA,NA,
468,Mobis Technical Center of India,4.97,28.10.2016,,,,,,NA,NA,NA,NA,
469,Hexagon Center India Pvt Ltd,4.85,01.11.2016,NA,3,NA,0,0,1,1,NA,NA,
470,Verity Knowledge Solutions,3.5,02.11.2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,
471,Progress Software (Internshop),0.12,07.11.2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,
472,Karvy Stock Broking Ltd   (MBA),6,08.11.2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,
473,AMAZON,2.9,12.11.2016,0,0,0,0,0,1,1,0,0,
474,JustDial (MBA),3.12,21.11.2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,
475,Bank of America,4.0,25.11.2016,6,7,0,2,3,0,1,1,2,
476,Dr.Reddy's Labs,6.5,20.12.2016,NA,NA,NA,NA,NA,NA,NA,NA,5,
477,GE (Internship),0.21,22.12.2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,
478,"GE Corporation Consultant
Internship M.E",0.2,22.12.2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,
479,HIL Limited,4.5,04.1.2017,NA,NA,NA,NA,NA,NA,NA,2,NA,
480,"GE Corporation Consultant
Internship M.E",0.2,22.12.2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,
481,HIL Limited,4.5,04.1.2017,NA,NA,NA,NA,NA,NA,NA,2,NA,
482,"GE Appliances, Haier, non-GE",6.4,09.1.2017,NA,1,NA,0,NA,NA,NA,NA,NA,
483,UBER,3.7,16.1.2017,0,0,0,0,1,1,0,0,1,
484,ServiceNow,9.8,17.1.2017,NA,2,NA,0,NA,NA,NA,NA,NA,
485,ICICI MBA,3.0,18.1.2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,
486,GE Corporation Consultant Internship M.E,2.4,22.12.2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,
487,HIL Limited,4.5,4.01.2017,NA,NA,NA,NA,NA,NA,NA,3,NA,
488,"GE Appliances, Haier, non-GE",6.4,9.01.2017,NA,1,NA,0,NA,NA,NA,NA,NA,
489,UBER,3.7,16.01.2017,0,0,0,0,1,1,0,0,1,
490,ServiceNow,9.8,17.01.2017,NA,2,NA,0,NA,NA,NA,NA,NA,
491,Deloitte Internship (CSE & IT),0.3,18.01.2017,NA,4,NA,1,NA,NA,NA,NA,NA,
492,ICICI MBA,3.0,18.01.2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,
493,NEULAND,3.5,20.01.2017,NA,NA,NA,NA,2,NA,NA,NA,NA,
494,Multiplier solutions,6.0,23.01.2017,2,6,0,0,1,2,4,3,0,
495,Dr.Reddy Labs,6.5,24.01.2017,NA,NA,NA,NA,NA,NA,NA,3,NA,
496,Synactive India Pvt Ltd,6.0,27.01.2017,NA,1,NA,0,NA,NA,NA,NA,NA,
497,Aurobindo Pharma (Chemical),3.6,31.01.2017,NA,NA,NA,NA,NA,NA,NA,3,NA,
498,ORACLE Poole,9.0,31.01.2017,0,1,0,0,NA,NA,NA,NA,NA,
499,Medha Servo Drives Pvt. Ltd,3.0,8.02.2017,1,NA,0,NA,0,NA,NA,NA,NA,
500,iB Hubs internship,3.0,20.02.2017,0,9,1,3,1,1,0,0,0,
501,Inspirage,4.8,22.02.2017,1,1,NA,0,NA,NA,NA,NA,NA,
502,Electronics Arts Games (EA),9.9,3.03.2017,NA,1,NA,0,NA,NA,NA,NA,NA,
503,BEL (Bharat Electronics Limited),8.6,6.03.2017,4,1,NA,NA,3,NA,0,NA,NA,
504,Ramky Enviro Engineers Limited,2.4,13.03.2017,NA,NA,NA,NA,5,NA,1,1,NA,
505,CoreCompete (iphigroup),4.2,14.03.2017,5,1,NA,0,NA,NA,NA,NA,NA,
506,Orient cement,4.0,16.03.2017,NA,NA,2,NA,2,NA,NA,,NA,
507,Spyry Technology  (Internship),3.0,19.03.2017,1,10,NA,1,NA,NA,NA,NA,NA,
508,Avaya India Pvt Ltd Internship,1.8,20.03.2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,
509,Bajaj Allianz  MBA,3.3,27.03.2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,
510,Aarvee Associates,3.5,30.03.2017,NA,NA,NA,NA,NA,NA,2,NA,NA,
511,ORACLE Poole,6.0,31.03.2017,0,1,NA,0,NA,NA,NA,NA,NA,
512,Bosch Limited,4.0,3.04.2017,NA,NA,1,NA,0,0,NA,NA,NA,
513,Hyundai Motor India Engineering,3.5,4.04.2017,NA,NA,NA,NA,1,NA,NA,NA,NA,
514,CPF (India) Pvt Ltd,4.8,7.04.2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,
515,CA Technology  (Internship),1.5,17.04.2017,NA,3,NA,0,NA,NA,NA,NA,NA,
516,Dr.Reddy Labs,6.5,20.04.2017,NA,NA,NA,NA,2,NA,NA,NA,NA,
517,Byju's,7.0,14.05.2017,3,2,0,0,3,0,1,0,3,
518,Netcracker Technology,5.5,18.05.2017,3,3,0,1,NA,NA,NA,NA,NA,
519,BEL (Bharat Electronics Limited),8.6,19.05.2017,3,NA,NA,NA,NA,NA,NA,NA,NA,
520,Microsoft Codess (Internship),5.4,19.05.2017,NA,1,NA,NA,NA,NA,NA,NA,NA,
521,TCS Internship (pool),1.2,20.05.2017,0,1,NA,0,NA,NA,NA,NA,NA,
522,Defteam Solutions Pvt.Ltd,3.5,22.05.2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,
523,RDC Concrete,3.5,22.05.2017,NA,NA,NA,NA,NA,NA,1,NA,NA,
524,JPMC Code for Good,6.5,16.07.2017,NA,15,NA,3,NA,NA,NA,NA,NA,
525,Accolite,10.0,19.07.2017,NA,0,NA,1,NA,NA,NA,NA,NA,
526,Oracle GBU,9.5,24.07.2017,0,2,0,2,NA,NA,NA,NA,NA,
527,Deloitte,6.2,1.08.2017,11,13,3,6,NA,NA,NA,NA,NA,
528,Next Education Solutions,7.0,4.08.2017,3,5,0,2,NA,NA,NA,NA,NA,
529,CoreCompete,7.0,10.08.2017,0,3,0,0,0,0,0,1,0,
530,Deloitte  (MBA),5.6,21.08.2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,
531,OYO,10.5,23.08.2017,NA,3,NA,0,NA,NA,NA,NA,NA,
532,Mroads,7.0,24.08.2017,1,0,0,0,0,0,0,0,0,
533,ServiceNow,10.9,28.08.2017,NA,3,NA,0,NA,NA,NA,NA,NA,
534,CA Technology,6.0,31.08.2017,NA,7,NA,2,NA,NA,NA,NA,NA,
535,CoreCompete,7.0,1.09.2017,NA,0,NA,1,NA,NA,NA,NA,NA,
536,Infosys,3.3,6.09.2017,32,44,10,17,16,2,6,1,2,
537,Accenture,3.5,9.09.2017,101,54,34,25,35,14,23,6,7,
538,NCR Corporation,5.5,12.09.2017,8,7,0,2,NA,NA,NA,NA,NA,
539,Technipfmc,5.7,13.09.2017,NA,NA,NA,NA,4,0,NA,NA,NA,
540,Wipro,3.3,16.09.2017,12,13,4,9,0,1,NA,NA,NA,
541,Capgemini,3.2,18.09.2017,16,5,1,3,1,1,0,1,NA,
542,Mindtree Ltd Pool,3.3,23.09.2017,7,1,NA,1,NA,NA,NA,NA,NA,
543,"GE Appliances, a Haier",6.4,27.09.2017,NA,2,NA,0,NA,NA,NA,NA,NA,
544,Intellect Design Arena,5.0,4.10.2017,NA,8,NA,7,NA,NA,NA,NA,NA,
545,Intellect Design Arena (Internship),2.2,4.10.2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,
546,DBS Asia Hub 2,10.0,7.10.2017,NA,12,NA,4,NA,NA,NA,NA,NA,
547,EZE Software,6.0,9.10.2017,NA,2,NA,0,NA,NA,NA,NA,NA,
548,Microsoft (Internship),5.4,9.10.2017,0,1,0,0,NA,NA,NA,NA,NA,
549,Franklin Templeton (MBA),3.5,10.10.2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,
550,AMD India Pvt Ltd (Internship),3.4,10.10.2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,
551,Karvy Stock Broking  (MBA),2.5,16.10.2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,
