S. No.,Name of the Organization,Salary Per Annum (Rs. In Lakhs),Date of Test/ Interview,ECE,CSE,EEE,IT,MECH,PROD,CIVIL,CHEM,BIO- TECH,
60,"MAHINDRA SATYAM (Off
Campus)",3,02.05.2010,1,2,4,2,NA,NA,NA,NA,NA,
61,"HYUNDAI MOTOR INDIA
ENGINEERING (R & D)",2.5,10.05.2010,NA,NA,NA,NA,7,5,NA,NA,NA,
62,"BHARAT ELECTRONICS
LIMITED",5,12.05.2010,1,NA,NA,NA,0,0,NA,NA,NA,
63,UNITED ONLINE,3,13.05.2010,1,0,0,0,NA,NA,NA,NA,NA,
64,WIPRO (VLSI),,20.05.2010,7,NA,0,0,NA,NA,NA,NA,NA,
65,TATA ADVANCE SYSTEMS,3.2,15.06.2010,NA,NA,NA,NA,1,1,NA,NA,NA,
66,SABMILLER,3,17.06.2010,NA,NA,NA,NA,1,0,NA,NA,NA,
67,MAHINDRA SATYAM,3,19.06.2010,NA,NA,NA,NA,2,4,NA,NA,NA,
68,"GE - ES, INDIA (INTERNSHIP)",1.2,21.06.2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,
69,HYUNDAI MOTOR INDIA ENGINEERING (R & D),2.5,23.06.2010,3,0,0,0,NA,NA,NA,NA,NA,
70,BONAVEN SOFTWARE PVT.LTD.,3.5,29.06.2010,0,2,0,0,NA,NA,NA,NA,NA,
71,HEAD STRONG,4.5,"10 &
11.07.2010",0,2,1,0,0,0,0,0,0,
72,JMC PROJECTS (INDIA) LTD.,2.88,12.07.2010,NA,NA,NA,NA,NA,NA,2,NA,NA,
73,BIO GENEX,3,31.07.2010,NA,NA,1,NA,1,0,NA,NA,NA,
74,NALCO,4,11.08.2010,NA,NA,NA,NA,NA,NA,NA,1,NA,
75,FACTSET FOR MBA,1.45,13.08.2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,
76,CAPITAL IQ,5.8,16.08.2010,NA,1,NA,1,NA,NA,NA,NA,NA,
77,"GE - ES, INDIA (INTERNSHIP)",1.2,24.08.2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,
